product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm
3326382,0,가구,일반소파,419000.0,1440,50,971,955,460557000,1390,774,544,955,15,0.03355704697986577,0.5872534142640364,0.015706806282722512,0.038734581595527555,0.5991310404786457,1.0
3603707,0,가구,일반소파,239000.0,845,41,841,825,221155000,802,444,269,825,16,0.046275395033860044,0.6227208976157083,0.019393939393939394,0.05677966101694915,0.6431763792524237,0.9481967857711753
3417592,0,가구,일반소파,289000.0,672,60,669,653,184568000,613,346,204,653,16,0.08196721311475409,0.6290909090909091,0.02450229709035222,0.08178030991252888,0.6510869860083679,0.8028201306889832
2052934,0,가구,일반소파,279000.0,1051,55,651,638,213908000,994,543,355,638,13,0.04972875226039783,0.6046770601336303,0.02037617554858934,0.06158679135008766,0.6207686169988423,0.934130886374845
3043031,0,가구,일반소파,599000.0,948,177,574,560,358026000,777,72,615,560,14,0.15733333333333333,0.10480349344978165,0.025,0.08421610169491527,0.0,0.4958457300275483
3093887,0,가구,일반소파,229000.0,668,71,561,524,145806600,0,0,0,524,34,0.09607577807848444,,0.0648854961832061,0.27941842411696205,,0.7453544118570568
3064560,0,가구,일반소파,499000.0,691,94,469,442,274790000,605,283,265,442,26,0.1197452229299363,0.5164233576642335,0.058823529411764705,0.24975074775672979,0.511170645675017,0.6489461898842328
2121820,0,가구,일반소파,649000.0,680,49,463,455,323246000,635,370,171,455,7,0.06721536351165981,0.6839186691312384,0.015384615384615385,0.03715775749674055,0.7191749087188435,0.8629060177881727
1502239,0,가구,일반소파,472900.0,533,80,440,427,234043200,457,82,281,427,11,0.13050570962479607,0.22589531680440772,0.02576112412177986,0.08794109474854127,0.15037803301421931,0.6051175578092381
2987676,0,가구,일반소파,531900.0,550,50,431,415,344629000,501,74,322,415,14,0.08333333333333333,0.18686868686868688,0.033734939759036145,0.12696548907494384,0.10191276358210827,0.7972557745285018
200259,0,가구,일반소파,299000.0,431,26,431,427,130962000,405,298,68,427,4,0.05689277899343545,0.8142076502732241,0.00936768149882904,0.007710475131981105,0.8809744436897571,0.9049510266936167
3047119,0,가구,일반소파,429000.0,533,146,409,405,177231000,395,49,294,405,4,0.21502209131075112,0.14285714285714285,0.009876543209876543,0.01020087884494664,0.04725697234018134,0.2608731474710856
3603867,0,가구,일반소파,239000.0,495,18,407,401,111423000,477,269,165,401,6,0.03508771929824561,0.619815668202765,0.014962593516209476,0.03509235386110993,0.6395685164548339,0.9937654052486589
1106433,0,가구,일반소파,389000.0,402,47,402,384,162868000,0,0,0,384,17,0.10467706013363029,,0.044270833333333336,0.1785288665254237,,0.7103204550056139
1656481,0,가구,일반소파,469000.0,388,23,388,385,181972000,365,195,104,385,3,0.05596107055961071,0.6521739130434783,0.007792207792207792,0.0,0.6797526434762649,0.9087459764301171
2997239,0,가구,일반소파,249000.0,458,65,378,365,115780000,0,0,0,365,13,0.124282982791587,,0.03561643835616438,0.13617367076851636,,0.6304634006702492
1106436,0,가구,일반소파,579000.0,338,51,338,312,202411000,0,0,0,312,21,0.13110539845758354,,0.0673076923076923,0.29127281616688394,,0.6026749600014383
3297813,0,가구,일반소파,349000.0,355,37,332,320,119935000,0,0,0,320,11,0.09438775510204081,,0.034375,0.1300979872881356,,0.7522299129441987
971178,0,가구,일반소파,299000.0,426,23,326,319,113833000,404,200,180,319,6,0.051224944320712694,0.5263157894736842,0.018808777429467086,0.053915838690824086,0.5234555745498257,0.9280367334629331
1992796,0,가구,일반소파,499000.0,405,42,325,304,175051000,0,0,0,304,17,0.09395973154362416,,0.05592105263157895,0.2355458296164139,,0.7539732994278449
3215125,0,가구,옷장/붙박이장,73900.0,7370,921,2505,2293,799821100,6490,1631,3488,2293,193,0.11108430828609335,0.3186169173666732,0.08416921064108156,0.5777729321122256,0.26410627075600707,0.6804646030984441
346955,0,가구,옷장/붙박이장,194900.0,3685,431,2287,2169,799230500,3273,1820,1044,2169,107,0.10471331389698736,0.6354748603351955,0.04933148916551406,0.32713488038522615,0.6063128491620111,0.7047471270282295
3746395,0,가구,옷장/붙박이장,69000.0,1733,240,1035,978,314210000,1519,784,577,978,48,0.12164216928535225,0.5760470242468773,0.049079754601226995,0.32532379004771644,0.5421307861866275,0.6402241795940331
3504715,0,가구,옷장/붙박이장,279000.0,1026,174,702,667,441999900,851,176,550,667,31,0.145,0.24242424242424243,0.046476761619190406,0.3065967016491754,0.18181818181818182,0.5511977186311787
609355,0,가구,옷장/붙박이장,85900.0,1235,130,696,646,195767500,1114,370,604,646,43,0.09523809523809523,0.3798767967145791,0.06656346749226007,0.451109391124871,0.3302669404517454,0.7408611478187552
1970385,0,가구,옷장/붙박이장,229000.0,631,80,606,588,129757000,554,315,195,588,16,0.11251758087201125,0.6176470588235294,0.027210884353741496,0.167989417989418,0.5870588235294117,0.6750018018872284
589026,0,가구,옷장/붙박이장,69900.0,734,39,426,408,72441900,694,520,106,408,16,0.050452781371280724,0.8306709265175719,0.0392156862745098,0.25435729847494554,0.8171246006389776,0.9115567079236941
3414648,0,가구,옷장/붙박이장,53800.0,512,42,381,364,41073000,470,374,72,364,17,0.07581227436823104,0.8385650224215246,0.046703296703296704,0.30822649572649574,0.8256502242152466,0.8149010749194276
3414653,0,가구,옷장/붙박이장,53800.0,496,29,377,364,42678800,469,349,107,364,12,0.05523809523809524,0.7653508771929824,0.03296703296703297,0.2094017094017094,0.746578947368421,0.8933178755867592
589043,0,가구,옷장/붙박이장,99900.0,319,22,318,313,34365600,296,219,38,313,5,0.06451612903225806,0.8521400778210116,0.01597444089456869,0.08714944976925808,0.8403112840466925,0.8579554087772837
126084,0,가구,옷장/붙박이장,36900.0,357,10,316,307,12485500,347,345,0,307,6,0.027247956403269755,1.0,0.019543973941368076,0.11283025696706478,1.0,1.0
3848758,0,가구,옷장/붙박이장,69900.0,758,107,294,274,70841100,656,338,267,274,19,0.12369942196531791,0.5586776859504132,0.06934306569343066,0.4711070559610705,0.5233719008264462,0.632383129299545
3962720,0,가구,옷장/붙박이장,74900.0,1120,201,276,252,111981200,917,50,625,252,18,0.15215745647236942,0.07407407407407407,0.07142857142857142,0.48611111111111105,0.0,0.5239176588081946
1038228,0,가구,옷장/붙박이장,597200.0,260,21,260,259,155925500,0,0,0,259,1,0.07473309608540925,,0.003861003861003861,0.0,,0.8190142746613602
345486,0,가구,옷장/붙박이장,184900.0,311,35,233,228,53934800,275,125,119,228,5,0.10115606936416185,0.5122950819672131,0.021929824561403508,0.12999512670565302,0.4732786885245901,0.7183052735618594
1970384,0,가구,옷장/붙박이장,349000.0,206,25,205,196,60987000,183,111,61,196,8,0.10822510822510822,0.6453488372093024,0.04081632653061224,0.26587301587301587,0.6169767441860465,0.6913622102317409
3675104,0,가구,옷장/붙박이장,298000.0,335,38,200,186,115211700,298,95,155,186,13,0.10187667560321716,0.38,0.06989247311827956,0.4750597371565113,0.3304,0.71555874183147
3242957,0,가구,옷장/붙박이장,169000.0,232,24,169,165,36755300,209,74,101,165,4,0.09375,0.4228571428571429,0.024242424242424242,0.14663299663299664,0.3766857142857143,0.7465329010839339
609384,0,가구,옷장/붙박이장,149000.0,163,24,163,153,28310000,140,40,100,153,8,0.12834224598930483,0.2857142857142857,0.05228758169934641,0.34840232389252,0.22857142857142856,0.614687385342052
1578757,0,가구,옷장/붙박이장,169000.0,152,23,152,146,28242800,131,46,75,146,6,0.13142857142857142,0.38016528925619836,0.0410958904109589,0.2678843226788432,0.3305785123966942,0.6029241084096086
1578760,0,가구,옷장/붙박이장,199000.0,176,38,151,144,30788800,140,46,80,144,7,0.17757009345794392,0.36507936507936506,0.04861111111111111,0.3219521604938272,0.3142857142857143,0.42705947183877346
1038225,0,가구,옷장/붙박이장,404800.0,151,11,151,149,64573000,0,0,0,149,2,0.06790123456790123,,0.013422818791946308,0.06879194630872483,,0.8450533559494459
2036104,0,가구,옷장/붙박이장,199000.0,350,46,149,143,70616300,304,123,112,143,6,0.11616161616161616,0.5234042553191489,0.04195804195804196,0.2740870240870241,0.48527659574468085,0.661112859484121
3120420,0,가구,옷장/붙박이장,75900.0,279,31,147,138,37457700,253,94,126,138,8,0.1,0.42727272727272725,0.057971014492753624,0.3892914653784219,0.38145454545454544,0.7227115373701832
1970394,0,가구,옷장/붙박이장,124000.0,158,20,138,131,17780700,138,94,31,131,7,0.11235955056179775,0.752,0.05343511450381679,0.3566581849024597,0.73216,0.6756041214868113
3467234,0,가구,식탁세트,551900.0,322,56,322,307,177711800,269,12,205,307,14,0.14814814814814814,0.055299539170506916,0.04560260586319218,0.7205211726384364,0.03278934663848562,0.4194690265486726
3667008,0,가구,식탁세트,596900.0,221,31,221,212,137287000,187,12,136,212,9,0.12301587301587301,0.08108108108108109,0.04245283018867924,0.670754716981132,0.06794012057169953,0.5671934260429836
3467236,0,가구,식탁세트,660900.0,152,27,152,150,100456800,126,5,103,150,2,0.15083798882681565,0.046296296296296294,0.013333333333333334,0.21066666666666667,0.020514248584424022,0.4036584762940624
3467258,0,가구,식탁세트,499900.0,85,15,85,79,42491500,70,2,62,79,5,0.15,0.03125,0.06329113924050633,1.0,0.0,0.4085840707964602
3264301,0,가구,식탁세트,499900.0,84,9,84,81,42473500,75,14,50,81,0,0.0967741935483871,0.21875,0.0,0.0,0.25563909774436094,0.7214387667713389
3365235,0,가구,식탁세트,792000.0,71,6,71,70,57816000,65,26,27,70,1,0.07792207792207792,0.49056603773584906,0.014285714285714285,0.2257142857142857,0.6262353998203055,0.8322491667624411
3365215,0,가구,식탁세트,624000.0,69,5,69,67,45552000,64,15,44,67,2,0.06756756756756757,0.2542372881355932,0.029850746268656716,0.4716417910447761,0.30402276878637274,0.893111695766563
3667011,0,가구,식탁세트,833900.0,64,18,64,60,55871300,46,2,40,60,2,0.21951219512195122,0.047619047619047616,0.03333333333333333,0.5266666666666666,0.02231769900942833,0.0
3364067,0,가구,식탁세트,544000.0,63,5,63,61,39712000,57,17,35,61,2,0.07352941176470588,0.3269230769230769,0.03278688524590164,0.5180327868852459,0.40312319259687684,0.8580687142113482
3467238,0,가구,식탁세트,769900.0,63,9,63,60,49273600,52,4,40,60,3,0.125,0.09090909090909091,0.05,0.79,0.0813397129186603,0.5555309734513274
1890812,0,가구,식탁세트,558900.0,77,4,63,63,38275500,73,52,16,63,0,0.04938271604938271,0.7647058823529411,0.0,0.0,1.0,1.0
